T [K]	C_e [J/m^3/K]
0.0	0.0
0.1	61.900000000000006
0.2	123.80000000000001
0.3	185.7
0.4	247.60000000000002
0.5	309.5
0.6	371.4
0.7	433.29999999999995
0.8	495.20000000000005
0.9	557.1
1.0	619.0
1.1	680.9000000000001
1.2	742.8
1.3	804.7
1.4	866.5999999999999
1.5	928.5
1.6	990.4000000000001
1.7	1052.3
1.8	1114.2
1.9	1176.1
2.0	1238.0
2.1	1299.9
2.2	1361.8000000000002
2.3	1423.6999999999998
2.4	1485.6
2.5	1547.5
2.6	1609.4
2.7	1671.3000000000002
2.8	1733.1999999999998
2.9	1795.1
3.0	1857.0
3.1	1918.9
3.2	1980.8000000000002
3.3	2042.6999999999998
3.4	2104.6
3.5	2166.5
3.6	2228.4
3.7	2290.3
3.8	2352.2
3.9	2414.1
4.0	2476.0
4.1	2537.8999999999996
4.2	2599.8
4.3	2661.7
4.4	2723.6000000000004
4.5	2785.5
4.6	2847.3999999999996
4.7	2909.3
4.8	2971.2
4.9	3033.1000000000004
5.0	3095.0
5.1	3156.8999999999996
5.2	3218.8
5.3	3280.7
5.4	3342.6000000000004
5.5	3404.5
5.6	3466.3999999999996
5.7	3528.3
5.8	3590.2
5.9	3652.1000000000004
6.0	3714.0
6.1	3775.8999999999996
6.2	3837.8
6.3	3899.7
6.4	3961.6000000000004
6.5	4023.5
6.6	4085.3999999999996
6.7	4147.3
6.8	4209.2
6.9	4271.1
7.0	4333.0
7.1	4394.9
7.2	4456.8
7.3	4518.7
7.4	4580.6
7.5	4642.5
7.6	4704.4
7.7	4766.3
7.8	4828.2
7.9	4890.1
8.0	4952.0
8.1	5013.9
8.2	5075.799999999999
8.3	5137.700000000001
8.4	5199.6
8.5	5261.5
8.6	5323.4
8.7	5385.299999999999
8.8	5447.200000000001
8.9	5509.1
9.0	5571.0
9.1	5632.9
9.2	5694.799999999999
9.3	5756.700000000001
9.4	5818.6
9.5	5880.5
9.6	5942.4
9.7	6004.299999999999
9.8	6066.200000000001
9.9	6128.1
10.0	6190.0
10.1	6251.9
10.2	6313.799999999999
10.3	6375.700000000001
10.4	6437.6
10.5	6499.5
10.6	6561.4
10.7	6623.299999999999
10.8	6685.200000000001
10.9	6747.1
11.0	6809.0
11.1	6870.9
11.2	6932.799999999999
11.3	6994.700000000001
11.4	7056.6
11.5	7118.5
11.6	7180.4
11.7	7242.299999999999
11.8	7304.200000000001
11.9	7366.1
12.0	7428.0
12.1	7489.9
12.2	7551.799999999999
12.3	7613.700000000001
12.4	7675.6
12.5	7737.5
12.6	7799.4
12.7	7861.299999999999
12.8	7923.200000000001
12.9	7985.1
13.0	8047.0
13.1	8108.9
13.2	8170.799999999999
13.3	8232.7
13.4	8294.6
13.5	8356.5
13.6	8418.4
13.7	8480.3
13.8	8542.2
13.9	8604.1
14.0	8666.0
14.1	8727.9
14.2	8789.8
14.3	8851.7
14.4	8913.6
14.5	8975.5
14.6	9037.4
14.7	9099.3
14.8	9161.2
14.9	9223.1
15.0	9285.0
15.1	9346.9
15.2	9408.8
15.3	9470.7
15.4	9532.6
15.5	9594.5
15.6	9656.4
15.7	9718.3
15.8	9780.2
15.9	9842.1
16.0	9904.0
16.1	9965.900000000001
16.2	10027.8
16.3	10089.7
16.4	10151.599999999999
16.5	10213.5
16.6	10275.400000000001
16.7	10337.3
16.8	10399.2
16.9	10461.099999999999
17.0	10523.0
17.1	10584.900000000001
17.2	10646.8
17.3	10708.7
17.4	10770.599999999999
17.5	10832.5
17.6	10894.400000000001
17.7	10956.3
17.8	11018.2
17.9	11080.099999999999
18.0	11142.0
18.1	11203.900000000001
18.2	11265.8
18.3	11327.7
18.4	11389.599999999999
18.5	11451.5
18.6	11513.400000000001
18.7	11575.3
18.8	11637.2
18.9	11699.099999999999
19.0	11761.0
19.1	11822.900000000001
19.2	11884.8
19.3	11946.7
19.4	12008.599999999999
19.5	12070.5
19.6	12132.400000000001
19.7	12194.3
19.8	12256.2
19.9	12318.099999999999
20.0	12380.0
20.1	12441.900000000001
20.2	12503.8
20.3	12565.7
20.4	12627.599999999999
20.5	12689.5
20.6	12751.400000000001
20.7	12813.3
20.8	12875.2
20.9	12937.099999999999
21.0	12999.0
21.1	13060.900000000001
21.2	13122.8
21.3	13184.7
21.4	13246.599999999999
21.5	13308.5
21.6	13370.400000000001
21.7	13432.3
21.8	13494.2
21.9	13556.099999999999
22.0	13618.0
22.1	13679.900000000001
22.2	13741.8
22.3	13803.7
22.4	13865.599999999999
22.5	13927.5
22.6	13989.400000000001
22.7	14051.3
22.8	14113.2
22.9	14175.099999999999
23.0	14237.0
23.1	14298.900000000001
23.2	14360.8
23.3	14422.7
23.4	14484.599999999999
23.5	14546.5
23.6	14608.400000000001
23.7	14670.3
23.8	14732.2
23.9	14794.099999999999
24.0	14856.0
24.1	14917.900000000001
24.2	14979.8
24.3	15041.7
24.4	15103.599999999999
24.5	15165.5
24.6	15227.400000000001
24.7	15289.3
24.8	15351.2
24.9	15413.099999999999
25.0	15475.0
25.1	15536.900000000001
25.2	15598.8
25.3	15660.7
25.4	15722.599999999999
25.5	15784.5
25.6	15846.400000000001
25.7	15908.3
25.8	15970.2
25.9	16032.099999999999
26.0	16094.0
26.1	16155.900000000001
26.2	16217.8
26.3	16279.7
26.4	16341.599999999999
26.5	16403.5
26.6	16465.4
26.7	16527.3
26.8	16589.2
26.9	16651.1
27.0	16713.0
27.1	16774.9
27.2	16836.8
27.3	16898.7
27.4	16960.6
27.5	17022.5
27.6	17084.4
27.7	17146.3
27.8	17208.2
27.9	17270.1
28.0	17332.0
28.1	17393.9
28.2	17455.8
28.3	17517.7
28.4	17579.6
28.5	17641.5
28.6	17703.4
28.7	17765.3
