T [K]	C_m [J/m^3/K]
0.0	2190.939481268011
0.1	2190.939481268011
0.2	2190.939481268011
0.3	2190.939481268011
0.4	2190.939481268011
0.5	2190.939481268011
0.6	2190.939481268011
0.7	2190.939481268011
0.8	2190.939481268011
0.9	2190.939481268011
1.0	2190.939481268011
1.1	2190.939481268011
1.2	2190.939481268011
1.3	2190.939481268011
1.4	2190.939481268011
1.5	2190.939481268011
1.6	2190.939481268011
1.7	2190.939481268011
1.8	2190.939481268011
1.9	2190.939481268011
2.0	2190.939481268011
2.1	2190.939481268011
2.2	2190.939481268011
2.3	2190.939481268011
2.4	2190.939481268011
2.5	2190.939481268011
2.6	2190.939481268011
2.7	2190.939481268011
2.8	2190.939481268011
2.9	2190.939481268011
3.0	2190.939481268011
3.1	2190.939481268011
3.2	2190.939481268011
3.3	2190.939481268011
3.4	2190.939481268011
3.5	2190.939481268011
3.6	2190.939481268011
3.7	2190.939481268011
3.8	2190.939481268011
3.9	2190.939481268011
4.0	2190.939481268011
4.1	2190.939481268011
4.2	2190.939481268011
4.3	2190.939481268011
4.4	2190.939481268011
4.5	2190.939481268011
4.6	2190.939481268011
4.7	2190.939481268011
4.8	2190.939481268011
4.9	2190.939481268011
5.0	2190.939481268011
5.1	2190.939481268011
5.2	2190.939481268011
5.3	2190.939481268011
5.4	2190.939481268011
5.5	2190.939481268011
5.6	2190.939481268011
5.7	2190.939481268011
5.8	2190.939481268011
5.9	2190.939481268011
6.0	2190.939481268011
6.1	2190.939481268011
6.2	2190.939481268011
6.3	2190.939481268011
6.4	2190.939481268011
6.5	2190.939481268011
6.6	2190.939481268011
6.7	2190.939481268011
6.8	2190.939481268011
6.9	2190.939481268011
7.0	2190.939481268011
7.1	2190.939481268011
7.2	2190.939481268011
7.3	2190.939481268011
7.4	2190.939481268011
7.5	2190.939481268011
7.6	2190.939481268011
7.7	2190.939481268011
7.8	2190.939481268011
7.9	2190.939481268011
8.0	2190.939481268011
8.1	2190.939481268011
8.2	2190.939481268011
8.3	2190.939481268011
8.4	2190.939481268011
8.5	2190.939481268011
8.6	2190.939481268011
8.7	2190.939481268011
8.8	2190.939481268011
8.9	2190.939481268011
9.0	2190.939481268011
9.1	2190.939481268011
9.2	2190.939481268011
9.3	2190.939481268011
9.4	2190.939481268011
9.5	2190.939481268011
9.6	2190.939481268011
9.7	2190.939481268011
9.8	2190.939481268011
9.9	2190.939481268011
10.0	2190.939481268011
10.1	2190.939481268011
10.2	2190.939481268011
10.3	2190.939481268011
10.4	2190.939481268011
10.5	2190.939481268011
10.6	2190.939481268011
10.7	2190.939481268011
10.8	2190.939481268011
10.9	2190.939481268011
11.0	2190.939481268011
11.1	2190.939481268011
11.2	2190.939481268011
11.3	2190.939481268011
11.4	2190.939481268011
11.5	2190.939481268011
11.6	2190.939481268011
11.7	2190.939481268011
11.8	2190.939481268011
11.9	2190.939481268011
12.0	2190.939481268011
12.1	2190.939481268011
12.2	2190.939481268011
12.3	2190.939481268011
12.4	2190.939481268011
12.5	2190.939481268011
12.6	2190.939481268011
12.7	2190.939481268011
12.8	2190.939481268011
12.9	2190.939481268011
13.0	2190.939481268011
13.1	2190.939481268011
13.2	2190.939481268011
13.3	2190.939481268011
13.4	2190.939481268011
13.5	2190.939481268011
13.6	2190.939481268011
13.7	2190.939481268011
13.8	2190.939481268011
13.9	2190.939481268011
14.0	2190.939481268011
14.1	2190.939481268011
14.2	2190.939481268011
14.3	2190.939481268011
14.4	2190.939481268011
14.5	2190.939481268011
14.6	2190.939481268011
14.7	2190.939481268011
14.8	2190.939481268011
14.9	2190.939481268011
15.0	2190.939481268011
15.1	2190.939481268011
15.2	2190.939481268011
15.3	2190.939481268011
15.4	2190.939481268011
15.5	2190.939481268011
15.6	2190.939481268011
15.7	2190.939481268011
15.8	2190.939481268011
15.9	2190.939481268011
16.0	2190.939481268011
16.1	2190.939481268011
16.2	2190.939481268011
16.3	2190.939481268011
16.4	2190.939481268011
16.5	2190.939481268011
16.6	2190.939481268011
16.7	2190.939481268011
16.8	2190.939481268011
16.9	2190.939481268011
17.0	2190.939481268011
17.1	2190.939481268011
17.2	2190.939481268011
17.3	2190.939481268011
17.4	2190.939481268011
17.5	2190.939481268011
17.6	2190.939481268011
17.7	2190.939481268011
17.8	2190.939481268011
17.9	2190.939481268011
18.0	2190.939481268011
18.1	2190.939481268011
18.2	2190.939481268011
18.3	2190.939481268011
18.4	2190.939481268011
18.5	2190.939481268011
18.6	2190.939481268011
18.7	2190.939481268011
18.8	2190.939481268011
18.9	2190.939481268011
19.0	2190.939481268011
19.1	2190.939481268011
19.2	2190.939481268011
19.3	2190.939481268011
19.4	2190.939481268011
19.5	2190.939481268011
19.6	2190.939481268011
19.7	2190.939481268011
19.8	2190.939481268011
19.9	2190.939481268011
20.0	2190.939481268011
20.1	2190.939481268011
20.2	2190.939481268011
20.3	2190.939481268011
20.4	2190.939481268011
20.5	2190.939481268011
20.6	2190.939481268011
20.7	2190.939481268011
20.8	2190.939481268011
20.9	2190.939481268011
21.0	2190.939481268011
21.1	2190.939481268011
21.2	2190.939481268011
21.3	2190.939481268011
21.4	2190.939481268011
21.5	2190.939481268011
21.6	2190.939481268011
21.7	2190.939481268011
21.8	2190.939481268011
21.9	2190.939481268011
22.0	2190.939481268011
22.1	2190.939481268011
22.2	2190.939481268011
22.3	2190.939481268011
22.4	2190.939481268011
22.5	2190.939481268011
22.6	2190.939481268011
22.7	2190.939481268011
22.8	2190.939481268011
22.9	2190.939481268011
23.0	2190.939481268011
23.1	2190.939481268011
23.2	2190.939481268011
23.3	2190.939481268011
23.4	2190.939481268011
23.5	2190.939481268011
23.6	2190.939481268011
23.7	2190.939481268011
23.8	2190.939481268011
23.9	2190.939481268011
24.0	2190.939481268011
24.1	2190.939481268011
24.2	2190.939481268011
24.3	2190.939481268011
24.4	2190.939481268011
24.5	2190.939481268011
24.6	2190.939481268011
24.7	2190.939481268011
24.8	2190.939481268011
24.9	2190.939481268011
25.0	2190.939481268011
25.1	2190.939481268011
25.2	2190.939481268011
25.3	2190.939481268011
25.4	2190.939481268011
25.5	2190.939481268011
25.6	2190.939481268011
25.7	2190.939481268011
25.8	2190.939481268011
25.9	2190.939481268011
26.0	2190.939481268011
26.1	2190.939481268011
26.2	2190.939481268011
26.3	2190.939481268011
26.4	2190.939481268011
26.5	2190.939481268011
26.6	2190.939481268011
26.7	2190.939481268011
26.8	2190.939481268011
26.9	2190.939481268011
27.0	2190.939481268011
27.1	2190.939481268011
27.2	2190.939481268011
27.3	2190.939481268011
27.4	2190.939481268011
27.5	2190.939481268011
27.6	2190.939481268011
27.7	2190.939481268011
27.8	2190.939481268011
27.9	2190.939481268011
28.0	2190.939481268011
28.1	2190.939481268011
28.2	2190.939481268011
28.3	2190.939481268011
28.4	2190.939481268011
28.5	2190.939481268011
28.6	2190.939481268011
28.7	2190.939481268011
28.8	2190.939481268011
28.9	2190.939481268011
29.0	2190.939481268011
29.1	2190.939481268011
29.2	2190.939481268011
29.3	2190.939481268011
29.4	2190.939481268011
29.5	2190.939481268011
29.6	2190.939481268011
29.7	2190.939481268011
29.8	2190.939481268011
29.9	2190.939481268011
30.0	2190.939481268011
30.1	2190.939481268011
30.2	2190.939481268011
30.3	2190.939481268011
30.4	2190.939481268011
30.5	2190.939481268011
30.6	2190.939481268011
30.7	2190.939481268011
30.8	2190.939481268011
30.9	2190.939481268011
31.0	2190.939481268011
31.1	2190.939481268011
31.2	2190.939481268011
31.3	2190.939481268011
31.4	2190.939481268011
31.5	2190.939481268011
31.6	2190.939481268011
31.7	2190.939481268011
31.8	2190.939481268011
31.9	2190.939481268011
32.0	2190.939481268011
32.1	2190.939481268011
32.2	2190.939481268011
32.3	2190.939481268011
32.4	2190.939481268011
32.5	2190.939481268011
32.6	2190.939481268011
32.7	2190.939481268011
32.8	2190.939481268011
32.9	2190.939481268011
33.0	2190.939481268011
33.1	2190.939481268011
33.2	2190.939481268011
33.3	2190.939481268011
33.4	2190.939481268011
33.5	2190.939481268011
33.6	2190.939481268011
33.7	2190.939481268011
33.8	2190.939481268011
33.9	2190.939481268011
34.0	2190.939481268011
34.1	2190.939481268011
34.2	2190.939481268011
34.3	2190.939481268011
34.4	2190.939481268011
34.5	2190.939481268011
34.6	2190.939481268011
34.7	2190.939481268011
34.8	2190.939481268011
34.9	2190.939481268011
35.0	2190.939481268011
35.1	2190.939481268011
35.2	2190.939481268011
35.3	2190.939481268011
35.4	2190.939481268011
35.5	2190.939481268011
35.6	2190.939481268011
35.7	2190.939481268011
35.8	2190.939481268011
35.9	2190.939481268011
36.0	2190.939481268011
36.1	2190.939481268011
36.2	2190.939481268011
36.3	2190.939481268011
36.4	2190.939481268011
36.5	2190.939481268011
36.6	2190.939481268011
36.7	2190.939481268011
36.8	2190.939481268011
36.9	2190.939481268011
37.0	2190.939481268011
37.1	2190.939481268011
37.2	2190.939481268011
37.3	2190.939481268011
37.4	2190.939481268011
37.5	2190.939481268011
37.6	2190.939481268011
37.7	2190.939481268011
37.8	2190.939481268011
37.9	2190.939481268011
38.0	2190.939481268011
38.1	2190.939481268011
38.2	2190.939481268011
38.3	2190.939481268011
38.4	2190.939481268011
38.5	2190.939481268011
38.6	2190.939481268011
38.7	2190.939481268011
38.8	2190.939481268011
38.9	2190.939481268011
39.0	2190.939481268011
39.1	2190.939481268011
39.2	2190.939481268011
39.3	2190.939481268011
39.4	2190.939481268011
39.5	2190.939481268011
39.6	2190.939481268011
39.7	2190.939481268011
39.8	2190.939481268011
39.9	2190.939481268011
40.0	2190.939481268011
40.1	2190.939481268011
40.2	2190.939481268011
40.3	2190.939481268011
40.4	2190.939481268011
40.5	2190.939481268011
40.6	2190.939481268011
40.7	2190.939481268011
40.8	2190.939481268011
40.9	2190.939481268011
41.0	2190.939481268011
41.1	2190.939481268011
41.2	2190.939481268011
41.3	2190.939481268011
41.4	2190.939481268011
41.5	2190.939481268011
41.6	2190.939481268011
41.7	2190.939481268011
41.8	2190.939481268011
41.9	2190.939481268011
42.0	2190.939481268011
42.1	2190.939481268011
42.2	2190.939481268011
42.3	2190.939481268011
42.4	2190.939481268011
42.5	2190.939481268011
42.6	2190.939481268011
42.7	2190.939481268011
42.8	2190.939481268011
42.9	2190.939481268011
43.0	2190.939481268011
43.1	2190.939481268011
43.2	2190.939481268011
43.3	2190.939481268011
43.4	2190.939481268011
43.5	2190.939481268011
43.6	2190.939481268011
43.7	2190.939481268011
43.8	2190.939481268011
43.9	2190.939481268011
44.0	2190.939481268011
44.1	2190.939481268011
44.2	2190.939481268011
44.3	2190.939481268011
44.4	2190.939481268011
44.5	2190.939481268011
44.6	2190.939481268011
44.7	2190.939481268011
44.8	2190.939481268011
44.9	2190.939481268011
45.0	2190.939481268011
45.1	2190.939481268011
45.2	2190.939481268011
45.3	2190.939481268011
45.4	2190.939481268011
45.5	2190.939481268011
45.6	2190.939481268011
45.7	2190.939481268011
45.8	2190.939481268011
45.9	2190.939481268011
46.0	2190.939481268011
46.1	2190.939481268011
46.2	2190.939481268011
46.3	2190.939481268011
46.4	2190.939481268011
46.5	2190.939481268011
46.6	2190.939481268011
46.7	2190.939481268011
46.8	2190.939481268011
46.9	2190.939481268011
47.0	2190.939481268011
47.1	2190.939481268011
47.2	2190.939481268011
47.3	2190.939481268011
47.4	2190.939481268011
47.5	2190.939481268011
47.6	2190.939481268011
47.7	2190.939481268011
47.8	2190.939481268011
47.9	2190.939481268011
48.0	2190.939481268011
48.1	2190.939481268011
48.2	2190.939481268011
48.3	2190.939481268011
48.4	2190.939481268011
48.5	2190.939481268011
48.6	2190.939481268011
48.7	2190.939481268011
48.8	2190.939481268011
48.9	2190.939481268011
49.0	2190.939481268011
49.1	2190.939481268011
49.2	2190.939481268011
49.3	2190.939481268011
49.4	2190.939481268011
49.5	2190.939481268011
49.6	2190.939481268011
49.7	2190.939481268011
49.8	2190.939481268011
49.9	2190.939481268011
50.0	2190.939481268011
50.1	2190.939481268011
50.2	2190.939481268011
50.3	2190.939481268011
50.4	2190.939481268011
50.5	2190.939481268011
50.6	2190.939481268011
50.7	2190.939481268011
50.8	2190.939481268011
50.9	2190.939481268011
51.0	2190.939481268011
51.1	2190.939481268011
51.2	2190.939481268011
51.3	2190.939481268011
51.4	2190.939481268011
51.5	2190.939481268011
51.6	2190.939481268011
51.7	2190.939481268011
51.8	2190.939481268011
51.9	2190.939481268011
52.0	2190.939481268011
52.1	2190.939481268011
52.2	2190.939481268011
52.3	2190.939481268011
52.4	2190.939481268011
52.5	2190.939481268011
52.6	2190.939481268011
52.7	2190.939481268011
52.8	2190.939481268011
52.9	2190.939481268011
53.0	2190.939481268011
53.1	2190.939481268011
53.2	2190.939481268011
53.3	2190.939481268011
53.4	2660.4265129683045
53.5	2660.4265129683045
53.6	2660.4265129683045
53.7	2660.4265129683045
53.8	2660.4265129683045
53.9	2660.4265129683045
54.0	2660.4265129683045
54.1	3755.8962536023173
54.2	3755.8962536023173
54.3	3755.8962536023173
54.4	3755.8962536023173
54.5	3755.8962536023173
54.6	3755.8962536023173
54.7	3755.8962536023173
54.8	5007.861671469742
54.9	5007.861671469742
55.0	5007.861671469742
55.1	5007.861671469742
55.2	5007.861671469742
55.3	5007.861671469742
55.4	6103.331412103755
55.5	6103.331412103755
55.6	6103.331412103755
55.7	6103.331412103755
55.8	6103.331412103755
55.9	6885.8097982709005
56.0	6885.8097982709005
56.1	6885.8097982709005
56.2	6885.8097982709005
56.3	7668.288184438046
56.4	7668.288184438046
56.5	7668.288184438046
56.6	7668.288184438046
56.7	8607.262247838618
56.8	8607.262247838618
56.9	8607.262247838618
57.0	8607.262247838618
57.1	8607.262247838618
57.2	8607.262247838618
57.3	9859.227665706057
57.4	9859.227665706057
57.5	9859.227665706057
57.6	9859.227665706057
57.7	10641.706051873203
57.8	10641.706051873203
57.9	10641.706051873203
58.0	10641.706051873203
58.1	10641.706051873203
58.2	11580.68011527379
58.3	11580.68011527379
58.4	11580.68011527379
58.5	12519.654178674362
58.6	12519.654178674362
58.7	12519.654178674362
58.8	12519.654178674362
58.9	12519.654178674362
59.0	12519.654178674362
59.1	12519.654178674362
59.2	14241.10662824208
59.3	14241.10662824208
59.4	14241.10662824208
59.5	14241.10662824208
59.6	14241.10662824208
59.7	14241.10662824208
59.8	14241.10662824208
59.9	15806.063400576371
60.0	15806.063400576371
60.1	15806.063400576371
60.2	15806.063400576371
60.3	15806.063400576371
60.4	15806.063400576371
60.5	17684.01152737753
60.6	17684.01152737753
60.7	17684.01152737753
60.8	17684.01152737753
60.9	19248.96829971182
61.0	19248.96829971182
61.1	19248.96829971182
61.2	19248.96829971182
61.3	19248.96829971182
61.4	20813.925072046113
61.5	20813.925072046113
61.6	20813.925072046113
61.7	20813.925072046113
61.8	22065.890489913552
61.9	22065.890489913552
62.0	22065.890489913552
62.1	22065.890489913552
62.2	22065.890489913552
62.3	23630.84726224783
62.4	23630.84726224783
62.5	23630.84726224783
62.6	23630.84726224783
62.7	23630.84726224783
62.8	25039.308357348695
62.9	25039.308357348695
63.0	25039.308357348695
63.1	25039.308357348695
63.2	26760.760806916427
63.3	26760.760806916427
63.4	26760.760806916427
63.5	26760.760806916427
63.6	26760.760806916427
63.7	27543.239193083573
63.8	27543.239193083573
63.9	27543.239193083573
64.0	27543.239193083573
64.1	27543.239193083573
64.2	29108.195965417864
64.3	29108.195965417864
64.4	29108.195965417864
64.5	30986.14409221901
64.6	30986.14409221901
64.7	30986.14409221901
64.8	30986.14409221901
64.9	30986.14409221901
65.0	33177.083573487034
65.1	33177.083573487034
65.2	33177.083573487034
65.3	33177.083573487034
65.4	33177.083573487034
65.5	35524.51873198847
65.6	35524.51873198847
65.7	35524.51873198847
65.8	35524.51873198847
65.9	35524.51873198847
66.0	37558.96253602306
66.1	37558.96253602306
66.2	37558.96253602306
66.3	37558.96253602306
66.4	37558.96253602306
66.5	40375.88472622479
66.6	40375.88472622479
66.7	40375.88472622479
66.8	40375.88472622479
66.9	40375.88472622479
67.0	40375.88472622479
67.1	43662.2939481268
67.2	43662.2939481268
67.3	43662.2939481268
67.4	43662.2939481268
67.5	46009.729106628234
67.6	46009.729106628234
67.7	46009.729106628234
67.8	46009.729106628234
67.9	48200.668587896245
68.0	48200.668587896245
68.1	48200.668587896245
68.2	48200.668587896245
68.3	48200.668587896245
68.4	50861.09510086455
68.5	50861.09510086455
68.6	50861.09510086455
68.7	53834.51296829971
68.8	53834.51296829971
68.9	53834.51296829971
69.0	56181.948126801144
69.1	56181.948126801144
69.2	56181.948126801144
69.3	58842.37463976944
69.4	58842.37463976944
69.5	58842.37463976944
69.6	58842.37463976944
69.7	61502.801152737746
69.8	61502.801152737746
69.9	64632.714697406336
70.0	64632.714697406336
70.1	64632.714697406336
70.2	67449.63688760807
70.3	67449.63688760807
70.4	67449.63688760807
70.5	70110.06340057636
70.6	70110.06340057636
70.7	72926.98559077809
70.8	72926.98559077809
70.9	75587.41210374638
71.0	75587.41210374638
71.1	77934.84726224783
71.2	77934.84726224783
71.3	80282.28242074927
71.4	80282.28242074927
71.5	83568.69164265128
71.6	83568.69164265128
71.7	87011.59654178674
71.8	89985.01440922188
71.9	89985.01440922188
72.0	93271.42363112391
72.1	93271.42363112391
72.2	96244.84149855906
72.3	96244.84149855906
72.4	99531.25072046107
72.5	99531.25072046107
72.6	102817.6599423631
72.7	102817.6599423631
72.8	106260.56484149855
72.9	106260.56484149855
73.0	102661.16426512967
73.1	99374.75504322765
73.2	96401.33717579249
73.3	92645.44092219019
73.4	89515.5273775216
73.5	85916.12680115273
73.6	79343.3083573487
73.7	76369.89048991352
73.8	74022.4553314121
73.9	70736.04610951009
74.0	64163.22766570604
74.1	61502.801152737746
74.2	58529.383285302596
74.3	55555.965417867425
74.4	50391.60806916426
74.5	47418.1902017291
74.6	44914.259365994236
74.7	40375.88472622479
74.8	37558.96253602306
74.9	34898.53602305475
75.0	32394.605187319874
75.1	32394.605187319874
75.2	30203.665706051863
75.3	30203.665706051863
75.4	30203.665706051863
75.5	27386.743515850132
75.6	27386.743515850132
75.7	27386.743515850132
75.8	25195.80403458212
75.9	25195.80403458212
76.0	23004.86455331411
76.1	23004.86455331411
76.2	23004.86455331411
76.3	20500.93371757926
76.4	20500.93371757926
76.5	20500.93371757926
76.6	17684.01152737753
76.7	17684.01152737753
76.8	17684.01152737753
76.9	17684.01152737753
77.0	15336.576368876093
77.1	15336.576368876093
77.2	15336.576368876093
77.3	15336.576368876093
77.4	15336.576368876093
77.5	15336.576368876093
77.6	13302.132564841508
77.7	13302.132564841508
77.8	13302.132564841508
77.9	13302.132564841508
78.0	13302.132564841508
78.1	10954.69740634007
78.2	10954.69740634007
78.3	10954.69740634007
78.4	10954.69740634007
78.5	10954.69740634007
78.6	9233.244956772338
78.7	9233.244956772338
78.8	9233.244956772338
78.9	9233.244956772338
79.0	9233.244956772338
79.1	7511.79250720462
79.2	7511.79250720462
79.3	7511.79250720462
79.4	7511.79250720462
79.5	7511.79250720462
79.6	7511.79250720462
79.7	6416.322766570607
79.8	6416.322766570607
79.9	6416.322766570607
80.0	6416.322766570607
80.1	6416.322766570607
80.2	5477.348703170035
80.3	5477.348703170035
80.4	5477.348703170035
80.5	5477.348703170035
80.6	5477.348703170035
80.7	5477.348703170035
80.8	4225.383285302596
80.9	4225.383285302596
81.0	4225.383285302596
81.1	4225.383285302596
81.2	4225.383285302596
81.3	4225.383285302596
81.4	3129.9135446685978
81.5	3129.9135446685978
81.6	3129.9135446685978
81.7	3129.9135446685978
81.8	1877.9481268011587
81.9	1877.9481268011587
82.0	1877.9481268011587
82.1	1877.9481268011587
82.2	1877.9481268011587
82.3	1721.4524495677324
82.4	1721.4524495677324
82.5	1721.4524495677324
82.6	1721.4524495677324
82.7	1721.4524495677324
82.8	1721.4524495677324
82.9	1721.4524495677324
83.0	1721.4524495677324
83.1	1721.4524495677324
83.2	1721.4524495677324
83.3	1721.4524495677324
83.4	1721.4524495677324
83.5	1721.4524495677324
83.6	1721.4524495677324
83.7	1721.4524495677324
83.8	1721.4524495677324
83.9	1721.4524495677324
84.0	1721.4524495677324
84.1	1721.4524495677324
84.2	1721.4524495677324
84.3	1721.4524495677324
84.4	1721.4524495677324
84.5	1721.4524495677324
84.6	1721.4524495677324
84.7	1721.4524495677324
84.8	1721.4524495677324
84.9	1721.4524495677324
85.0	1721.4524495677324
85.1	1721.4524495677324
85.2	1721.4524495677324
85.3	1721.4524495677324
85.4	1721.4524495677324
85.5	1721.4524495677324
85.6	1721.4524495677324
85.7	1721.4524495677324
85.8	1721.4524495677324
85.9	1721.4524495677324
86.0	1721.4524495677324
86.1	1721.4524495677324
86.2	1721.4524495677324
86.3	1721.4524495677324
86.4	1721.4524495677324
86.5	1721.4524495677324
86.6	1721.4524495677324
86.7	1721.4524495677324
86.8	1721.4524495677324
86.9	1721.4524495677324
87.0	1721.4524495677324
87.1	1721.4524495677324
87.2	1721.4524495677324
87.3	1721.4524495677324
87.4	1721.4524495677324
87.5	1721.4524495677324
87.6	1721.4524495677324
87.7	1721.4524495677324
87.8	1721.4524495677324
87.9	1721.4524495677324
88.0	1721.4524495677324
88.1	1721.4524495677324
88.2	1721.4524495677324
88.3	1721.4524495677324
88.4	1721.4524495677324
88.5	1721.4524495677324
88.6	1721.4524495677324
88.7	1721.4524495677324
