T [K]	C_p [J/m^3/K]
0.0	nan
0.1	nan
0.2	nan
0.3	0.7118701285086255
0.4	1.6873958735995478
0.5	3.29569507772904
0.6	5.694961105661484
0.7	9.043387322159425
0.8	13.49916709198474
0.9	19.220493779898995
1.0	26.36556075066361
1.1	35.09256136903995
1.2	45.55968899978929
1.3	57.925137007672916
1.4	72.34709875745204
1.5	88.983767613888
1.6	107.99333694174196
1.7	129.53400010577516
1.8	153.76395047074888
1.9	180.84138140142412
2.0	210.9244862625624
2.1	244.1714584189248
2.2	280.74049123527254
2.3	320.78977807636664
2.4	364.4775123069686
2.5	411.9618872918396
2.6	463.40109639574064
2.7	518.9533329834334
2.8	578.7767904196782
2.9	643.0296620692371
3.0	711.8701412968712
3.1	785.4564214673416
3.2	863.9466959454088
3.3	947.4991580958346
3.4	1036.2720012833802
3.5	1130.4234188728049
3.6	1230.1116042288652
3.7	1335.494750716309
3.8	1446.7310516998614
3.9	1563.9787005441892
4.0	1687.3958906138216
4.1	1817.1408152729718
4.2	1953.3716678851763
4.3	2096.246641812565
4.4	2245.923930414466
4.5	2402.561727044834
4.6	2566.318225047649
4.7	2737.351617748975
4.8	2915.8200984436276
4.9	3101.8818603734467
5.0	3295.6950966927334
5.1	3497.418000414675
5.2	3707.2087643301193
5.3	3925.2255808870596
5.4	4151.626642015434
5.5	4386.5701388771595
5.6	4630.21426151587
5.7	4882.717198374277
5.8	5144.237135639623
5.9	5414.932256369279
6.0	5694.960739339023
6.1	5984.4807575463965
6.2	6283.650476290348
6.3	6592.6280507368165
6.4	6911.571622867748
6.5	7240.63931769879
6.6	7579.989238638445
6.7	7929.779461849681
6.8	8290.168029463173
6.9	8661.312941480997
7.0	9043.372146199652
7.1	9436.50352897332
7.2	9840.864899131258
7.3	10256.61397485857
7.4	10683.908365846539
7.5	11122.90555351787
7.6	11573.762868633752
7.7	12036.637466093302
7.8	12511.686296742098
7.9	12999.0660760151
8.0	13498.933249249685
8.1	14011.443953517926
8.2	14536.753975841952
8.3	15075.018707673424
8.4	15626.39309553668
8.5	16191.03158775586
8.6	16769.08807720728
8.7	17360.715840061566
8.8	17966.067470503433
8.9	18585.294811440857
9.0	19218.548881240407
9.1	19865.979796549145
9.2	20527.73669128881
9.3	21203.96763193112
9.4	21894.81952918669
9.5	22600.438046262723
9.6	23320.967503865322
9.7	24056.550782143302
9.8	24807.32921978878
9.9	25573.442510527264
10.0	26355.02859724595
10.1	27152.223564022857
10.2	27965.161526331678
10.3	28793.974519708387
10.4	29638.792387173642
10.5	30499.742665712696
10.6	31376.950472118908
10.7	32270.53838851116
10.8	33180.626347836114
10.9	34107.33151966689
11.0	35050.768196607736
11.1	36011.047681610624
11.2	36988.27817650546
11.3	37982.56467203906
11.4	38994.00883971035
11.5	40022.70892568158
11.6	41068.75964703384
11.7	42132.25209062631
11.8	43213.27361480555
11.9	44311.90775419947
12.0	45428.23412781772
12.1	46562.32835066563
12.2	47714.26194906571
12.3	48884.102279866005
12.4	50071.91245369904
12.5	51277.751262441925
12.6	52501.6731110108
12.7	53743.72795360973
12.8	55003.9612345384
12.9	56282.41383364773
13.0	57579.1220165184
13.1	58894.11738942282
13.2	60227.42685911648
13.3	61579.07259749132
13.4	62949.07201110999
13.5	64337.43771562785
13.6	65744.17751509538
13.7	67169.29438612334
13.8	68612.78646688098
13.9	70074.64705088637
14.0	71554.86458553812
14.1	73053.4226753276
14.2	74570.30008966154
14.3	76105.4707752173
14.4	77658.90387274273
14.5	79230.5637382084
14.6	80820.4099682098
14.7	82428.39742951356
14.8	84054.47629263387
14.9	85698.59206932173
15.0	87360.68565384451
15.1	89040.69336792854
15.2	90738.54700923518
15.3	92454.17390323618
15.4	94187.49695835388
15.5	95938.43472422642
15.6	97706.90145296011
15.7	99492.8071632268
15.8	101296.05770706465
15.9	103116.55483924097
16.0	104954.196289034
16.1	106808.87583429173
16.2	108680.48337762662
16.3	110568.90502460598
16.4	112474.02316379728
16.5	114395.71654853267
16.6	116333.86038025451
16.7	118288.32639330842
16.8	120258.98294105261
16.9	122245.69508315192
17.0	124248.32467393066
17.1	126266.73045165894
17.2	128300.768128651
17.3	130350.29048205663
17.4	132415.14744522955
17.5	134495.18619956053
17.6	136590.25126666494
17.7	138700.18460081983
17.8	140824.825681547
17.9	142964.01160624187
18.0	145117.57718275447
18.1	147285.35502182748
18.2	149467.17562930405
18.3	151662.86749802018
18.4	153872.25719929714
18.5	156095.1694739591
18.6	158331.42732279826
18.7	160580.85209641594
18.8	162843.26358437465
18.9	165118.48010359026
19.0	167406.31858591046
19.1	169706.5946648143
19.2	172019.12276118263
19.3	174343.71616808517
19.4	176680.18713453703
19.5	179028.34694817843
19.6	181388.00601683385
19.7	183758.97394891482
19.8	186141.05963262424
19.9	188534.07131393257
20.0	190937.81667329292
20.1	193352.10290106546
20.2	195776.73677162686
20.3	198211.52471614038
20.4	200656.27289396443
20.5	203110.78726268263
20.6	205574.87364673679
