# Ab initio lattice heat capacity of optical phonons from Sukanyas bulk DFT
#
# Temperature [K]	C_p [J/m^3K]
2	0.0
3	5.240963218966499e-11
4	1.0853991625481285e-06
5	0.00044666880808108544
6	0.02520108669864385
7	0.4458937439294459
8	3.768918980361377
9	19.368012785020255
10	70.20492721193659
11	197.6281666112518
12	460.9366974803179
13	931.6927240713958
14	1685.3243886036762
15	2792.950900950298
16	4315.335800212106
17	6299.589453898443
18	8778.338044036216
19	11770.665771060849
20	15284.084886423094
21	19316.920246538473
22	23860.683607781524
23	28902.18809046854
24	34425.28776600638
25	40412.21772722046
26	46844.563405564055
27	53703.91429512914
28	60972.265877712576
29	68632.23163844837
30	76667.11970241053
31	85060.91910368862
32	93798.23098374886
33	102864.1711560532
34	112244.2629343262
35	121924.3330172163
36	131890.4184746468
37	142128.6893217293
38	152625.38859422854
39	163366.7900577447
40	174339.1725131521
41	185528.80895212037
42	196921.9684449634
43	208504.92851049
44	220263.9957478111
45	232185.53264570836
46	244255.9886836707
47	256461.9340693319
48	268790.09469798504
49	281227.3871567742
50	293760.9528194765
51	306378.19028169103
52	319066.7855681126
53	331814.7397024485
54	344610.39336619497
55	357442.4484871393
56	370299.9866925969
57	383172.48463892005
58	396049.82628938666
59	408922.31225929153
60	421780.6663815797
61	434616.03967143234
62	447420.0118842332
63	460184.5908706401
64	472902.2099363598
65	485565.72341318557
66	498168.40064352314
67	510703.91857374547
68	523166.3531424251
69	535550.1696391151
70	547850.2121981034
71	560061.6925794542
72	572180.1783776104
73	584201.5807858221
74	596122.1420326016
75	607938.4225953354
76	619647.2882845846
77	631245.8972830639
78	642731.6872124636
79	654102.3622932996
80	665355.8806534172
81	676490.4418338545
82	687504.4745329153
83	698396.6246233989
84	709165.7434714524
85	719810.8765806261
86	730331.2525795223
87	740726.2725673979
88	750995.4998281794
89	761138.6499198864
90	771155.5811435481
91	781046.2853931203
92	790810.8793854708
93	800449.5962677872
94	809962.7775978465
95	819350.8656912483
96	828614.3963285614
97	837753.9918141689
98	846770.3543780859
99	855664.2599108197
100	864436.5520215806
101	873088.1364090485
102	881619.9755341307
103	890033.0835835789
104	898328.5217137157
105	906507.3935630104
106	914570.8410226455
107	922520.0402538958
108	930356.1979423908
109	938080.5477773544
110	945694.347147064
111	953198.874039065
112	960595.4241362895
113	967885.3080990368
114	975069.8490237242
115	982150.3800697022
116	989128.2422449096
117	996004.7823429406
118	1002781.3510227139
119	1009459.3010236842
120	1016039.9855089601
121	1022524.756529205
122	1028914.9636010157
123	1035211.9523928781
124	1041417.063512576
125	1047531.6313909113
126	1053556.983255155
127	1059494.438187412
128	1065345.3062631143
129	1071110.8877643556
130	1076792.4724637158
131	1082391.338974237
132	1087908.754161663
133	1093345.9726145586
134	1098704.2361692183
135	1103984.773485289
136	1109188.799669432
137	1114317.5159434455
138	1119372.109353886
139	1124353.7525208783
140	1129263.6034230627
141	1134102.8052162146
142	1138872.486083386
143	1143573.759114492
144	1148207.7222126105
145	1152775.4580259414
146	1157278.033903195
147	1161716.501869783
148	1166091.8986254616
149	1170405.2455589788
150	1174657.5487810287
151	1178849.7991720461
152	1182982.9724447108
153	1187058.02922012
154	1191075.9151152887
155	1195037.560842547
156	1198943.8823184455
157	1202795.7807824276
158	1206594.142923029
159	1210339.8410125745
160	1214033.7330481766
161	1217676.6628983477
162	1221269.46045618
163	1224812.9417963403
164	1228307.9093367392
165	1231755.152003935
166	1235155.4454015465
167	1238509.5519818165
168	1241818.221218986
169	1245082.18978506
170	1248302.181726995
171	1251478.9086448043
172	1254613.069871424
173	1257705.3526518736
174	1260756.4323241147
175	1263766.972499096
176	1266737.6252409322
177	1269669.0312470966
178	1272561.820027149
179	1275416.6100816708
180	1278234.0090799867
181	1281014.6140364578
182	1283759.0114863147
183	1286467.7776595266
184	1289141.4786531962
185	1291780.6706039119
186	1294385.899855399
187	1296957.703128504
188	1299496.6076854994
189	1302003.1314952665
190	1304477.7833954145
191	1306921.0632526018
192	1309333.4621208468
193	1311715.4623976536
194	1314067.5379791735
195	1316390.1544109134
196	1318683.7690390267
197	1320948.8311573723
198	1323185.7821537554
199	1325395.0556529334
200	1327577.0776585382
201	1329732.2666918095
202	1331861.0339287878
