# Ab initio lattice heat capacity of accoustic phonons from Sukanyas bulk DFT
#
# Temperature [K]	C_p [J/m^3K]
2	216.74920929157247
3	558.9794341479795
4	917.2820141006546
5	1367.2527222238557
6	1975.0692934105596
7	2790.121293055916
8	3859.3846180790556
9	5242.230299503029
10	7015.829657651502
11	9270.770175418234
12	12099.767092194368
13	15584.142099510136
14	19782.46322787238
15	24723.843197488364
16	30406.307583590748
17	36799.26732922694
18	43848.59659587334
19	51482.873972591
20	59619.684557207176
21	68171.28130263713
22	77049.25021886414
23	86168.07536696304
24	95447.65779636696
25	104814.92672853683
26	114204.71384745344
27	123560.0620347573
28	132832.12288826
29	141979.77274194892
30	150969.0507256664
31	159772.49801159135
32	168368.45635315066
33	176740.36680065055
34	184876.0959397818
35	192767.30671186873
36	200408.88329957152
37	207798.41415948566
38	214935.7335672371
39	221822.51959868008
40	228461.9449671186
41	234858.37630704028
42	241017.1171364772
43	246944.1896905778
44	252646.1509858803
45	258129.93876720814
46	263402.7433498565
47	268471.9017594277
48	273344.81096403924
49	278028.8573717837
50	282531.3601202613
51	286859.5260092529
52	291020.41422009433
53	295020.9092257054
54	298867.70052516036
55	302567.2680377575
56	306125.8721664995
57	309549.5476923536
58	312844.10079084005
59	316015.10857448983
60	319067.92066023254
61	322007.66234234185
62	324839.2390208985
63	327567.34159452573
64	330196.45257599687
65	332730.85273127665
66	335174.62807815155
67	337531.67711036635
68	339805.7181381825
69	342000.2966575223
70	344118.7926770862
71	346164.42794775614
72	348140.2730506897
73	350049.25431061815
74	351894.1605093059
75	353677.649380873
76	355402.25387664704
77	357070.3881914215
78	358684.35354719346
79	360246.3437331534
80	361758.4504032447
81	363222.6681346316
82	364640.8992516732
83	366014.958421406
84	367346.5770271864
85	368637.40732791775
86	369889.02641058946
87	371102.93994432525
88	372280.5857439057
89	373423.3371512294
90	374532.50624282926
91	375609.3468714063
92	376655.0575494409
93	377670.784182544
94	378657.62265995477
95	379616.6213094711
96	380548.7832237956
97	381455.06846485316
98	382336.39615254884
99	383193.6464441278
100	384027.66240979044
101	384839.25181036885
102	385629.1887820173
103	386398.2154332941
104	387147.04335903673
105	387876.35507586494
106	388586.805383338
107	389279.0226549527
108	389953.61006273446
109	390611.14673917147
110	391252.1888796431
111	391877.2707889847
112	392486.90587478236
113	393081.5875907026
114	393661.7903322603
115	394227.97028778354
116	394780.56624695484
117	395320.00036915246
118	395846.6789138996
119	396360.99293526146
120	396863.3189422946
121	397354.01952727855
122	397833.44396345696
123	398301.92877387174
124	398759.79827290535
125	399207.3650818593
126	399644.93062001746
127	400072.78557243
128	400491.21033566387
129	400900.4754425745
130	401300.84196735336
131	401692.56191166386
132	402075.87857298343
133	402451.0268959937
134	402818.2338079284
135	403177.718538558
136	403529.6929258207
137	403874.3617075577
138	404211.92280028726
139	404542.5675653714
140	404866.48106363695
141	405183.8422984403
142	405494.8244483773
143	405799.59508952167
144	406098.3164082442
145	406391.14540469454
146	406678.23408756044
147	406959.7296605091
148	407235.7747006487
149	407506.5073294705
150	407772.0613765551
151	408032.566536416
152	408288.1485188005
153	408538.9291927935
154	408785.0267248592
155	409026.55571130785
156	409263.62730536924
157	409496.34933894244
158	409724.82643960207
159	409949.16014274774
160	410169.4489993679
161	410385.78867939604
162	410598.2720710983
163	410806.9893763938
164	411012.02820254245
165	411213.4736501884
166	411411.40839803393
167	411605.91278411157
168	411797.06488411827
169	411984.9405865835
170	412169.6136651997
171	412351.15584853303
172	412529.636886874
173	412705.12461684074
174	412877.6850232928
175	413047.38229920785
176	413214.2789030933
177	413378.4356144822
178	413539.9115872371
179	413698.76440102805
180	413855.05011087016
181	414008.8232948617
182	414160.1371002637
183	414309.0432878487
184	414455.59227478306
185	414599.8331757962
186	414741.8138431256
187	414881.58090488834
188	415019.1798021338
189	415154.6548247305
190	415288.04914580024
191	415419.40485511196
192	415548.76299133187
193	415676.16357308556
194	415801.64562901086
195	415925.2472267395
196	416047.0055010482
197	416166.95668085414
198	416285.1361154561
199	416401.5782998837
200	416516.31689928216
201	416629.38477272366
202	416740.8139959736
203	416850.635883763
204	416958.8810110578
205	417065.57923392765
206	417170.7597095052
207	417274.4509155195
208	417376.6806689139
209	417477.47614420915
210	417576.8638909961
211	417674.86985105625
212	417771.51937485917
213	417866.83723757113
214	417960.8476545701
215	418053.574296401
216	418145.0403034743
217	418235.26829994493
218	418324.2804076222
219	418412.0982590995
220	418498.74301056564
221	418584.2353544142
222	418668.59553116263
223	418751.8433412862
224	418833.99815656256
225	418915.0789310273
226	418995.1042118293
227	419074.0921494644
228	419152.06050793605
229	419229.0266745045
230	419305.00766924175
231	419380.02015415777
232	419454.0804422535
233	419527.2045061353
234	419599.40798651235
235	419670.7062003756
236	419741.1141489217
237	419810.64652546286
238	419879.3177226646
239	419947.1418401551
240	420014.1326914173
241	420080.3038107535
242	420145.6684600917
243	420210.2396353579
244	420274.030072875
245	420337.05225565843
246	420399.31841915194
247	420460.84055740177
248	420521.63042835717
249	420581.6995597535
250	420641.0592541531
251	420699.72059452266
252	420757.6944489288
253	420814.991475928
254	420871.6221288533
255	420927.59666115046
256	420982.9251302616
257	421037.617402674
258	421091.6831577498
259	421145.13189240766
260	421197.9729247992
261	421250.2153985698
262	421301.8682867234
263	421352.94039532624
264	421403.44036727445
265	421453.3766858359
266	421502.7576782912
267	421551.5915192076
268	421599.88623376633
269	421647.649701215
270	421694.8896577915
271	421741.6136998987
272	421787.82928729756
273	421833.5437455819
274	421878.7642696316
275	421923.49792591727
276	421967.7516555404
277	422011.53227662854
278	422054.8464872134
279	422097.70086740144
280	422140.10188229784
281	422182.0558839255
282	422223.56911396934
283	422264.6477058212
284	422305.2976868664
285	422345.52498081635
286	422385.335409573
287	422424.73469563306
288	422463.72846372
289	422502.3222432323
290	422540.5214697055
291	422578.331487117
292	422615.75754941953
293	422652.8048225772
294	422689.4783861169
295	422725.78323503846
296	422761.72428133956
297	422797.3063557821
298	422832.5342094891
299	422867.4125152804
300	422901.9458696193
301	422936.13879374217
302	422969.9957352283
303	423003.5210696228
304	423036.7191015221
305	423069.59406615223
306	423102.1501306421
307	423134.39139528875
308	423166.3218949554
309	423197.9456001756
310	423229.2664184169
311	423260.2881954447
312	423291.0147161557
313	423321.4497059956
314	423351.5968320259
315	423381.4597039103
316	423411.0418751078
317	423440.3468437783
318	423469.3780540295
319	423498.1388966608
320	423526.63271030295
321	423554.8627824037
322	423582.8323499372
323	423610.54460068577
324	423638.00267382315
325	423665.20966089226
326	423692.1686067824
327	423718.8825104108
328	423745.354325593
329	423771.58696195716
330	423797.58328559017
331	423823.34611990704
332	423848.8782463153
333	423874.1824050933
334	423899.2612960631
335	423924.1175792181
336	423948.7538754677
337	423973.1727675248
338	423997.3768001751
339	424021.36848129955
340	424045.1502823584
341	424068.7246389921
342	424092.0939516943
343	424115.26058647514
344	424138.22687531856
345	424160.99511683744
346	424183.5675769548
347	424205.9464891729
348	424228.1340553985
349	424250.1324464362
350	424271.94380231085
351	424293.570233093
352	424315.01381909614
353	424336.2766116123
354	424357.36063327914
355	424378.2678786188
356	424399.00031436037
357	424419.55988020217
358	424439.9484888745
359	424460.1680268575
360	424480.2203547663
361	424500.1073077011
362	424519.83069567755
363	424539.39230415586
364	424558.79389424704
365	424578.0372032332
366	424597.1239450069
367	424616.05581024167
368	424634.8344670285
369	424653.4615609209
370	424671.93871570635
371	424690.2675333787
372	424708.44959461445
373	424726.4864592294
374	424744.3796663314
375	424762.13073475996
376	424779.7411633638
377	424797.212431342
378	424814.5459984863
379	424831.7433055303
380	424848.80577452667
381	424865.73480893666
382	424882.5317942219
383	424899.1980976382
384	424915.73506917746
385	424932.14404122625
386	424948.4263291765
387	424964.5832315952
388	424980.61603042204
389	424996.5259913999
390	425012.31436403876
391	425027.9823822257
392	425043.53126407263
393	425058.96221242705
394	425074.27641508763
395	425089.4750448309
396	425104.5592598689
397	425119.530203867
398	425134.38900638313
399	425149.1367828142
400	425163.77463488944
401	425178.30365060735
402	425192.72490461264
403	425207.0394583484
404	425221.2483602179
405	425235.35264578153
406	425249.3533380531
407	425263.2514474905
408	425277.04797226505
409	425290.7438985843
410	425304.34020066494
411	425317.8378408228
412	425331.2377701541
413	425344.5409280065
414	425357.7482425892
415	425370.8606311069
416	425383.87899970636
417	425396.8042439158
418	425409.63724844763
419	425422.37888777244
420	425435.03002578684
421	425447.59151645075
422	425460.064203518
423	425472.4489209577
424	425484.746492937
425	425496.9577340353
426	425509.0834492991
427	425521.1244344475
428	425533.0814760878
429	425544.95535152714
430	425556.7468292746
431	425568.4566689158
432	425580.08562132803
433	425591.6344288507
434	425603.1038252136
435	425614.4945359493
436	425625.80727805267
437	425637.04276077874
438	425648.2016849703
439	425659.2847438557
440	425670.2926225295
441	425681.2259987227
442	425692.08554227464
443	425702.8719156609
444	425713.5857739141
445	425724.22776489164
446	425734.79852893564
447	425745.2986995721
448	425755.728903314
449	425766.0897593559
450	425776.38188063237
451	425786.6058729036
452	425796.76233547233
453	425806.8518609868
454	425816.8750356558
455	425826.83243932086
456	425836.72464549175
457	425846.55222141824
458	425856.3157281977
459	425866.0157209368
460	425875.6527486079
461	425885.22735442535
462	425894.7400757565
463	425904.19144399546
464	425913.5819851196
465	425922.91221936647
466	425932.1826613954
467	425941.39382039476
468	425950.54620035156
469	425959.64029956656
470	425968.67661135446
471	425977.6556237921
472	425986.5778196113
473	425995.4436767907
474	426004.2536680354
475	426013.0082612436
476	426021.7079193987
477	426030.353100713
478	426038.9442583944
479	426047.48184147157
480	426055.9662936281
481	426064.39805463713
482	426072.77755928563
483	426081.10523809155
484	426089.3815170706
485	426097.60681786225
486	426105.78155794414
487	426113.90615031007
488	426121.9810040258
489	426130.0065237262
490	426137.983110011
491	426145.911159641
492	426153.7910650544
493	426161.6232149408
494	426169.40799406124
495	426177.1457831055
496	426184.8369593911
497	426192.48189591273
498	426200.08096241864
499	426207.63452471094
500	426215.14294491487
501	426222.606581837
502	426230.02579044586
503	426237.40092240926
504	426244.7323256823
505	426252.0203451171
506	426259.26532192435
507	426266.4675940684
508	426273.6274961414
509	426280.74535965046
510	426287.82151256915
511	426294.85628001887
512	426301.8499836954
513	426308.8029422272
514	426315.7154713011
515	426322.587883465
516	426329.42048825347
517	426336.21359215176
518	426342.9674988291
519	426349.682509031
520	426356.3589205255
521	426362.9970283364
522	426369.5971246173
523	426376.1594988138
524	426382.684437555
525	426389.17222477996
526	426395.62314175465
527	426402.0374670549
528	426408.41547667346
529	426414.7574440203
530	426421.06363992236
531	426427.33433255204
532	426433.569787768
533	426439.7702688996
534	426445.9360366934
535	426452.0673496719
536	426458.16446377453
537	426464.22763259115
538	426470.2571075412
539	426476.2531376048
540	426482.21596932237
541	426488.1458473516
542	426494.04301358724
543	426499.9077082204
544	426505.7401688952
545	426511.5406312647
546	426517.30932868586
547	426523.04649254296
548	426528.7523520856
549	426534.42713451857
550	426540.07106464327
551	426545.68436586193
552	426551.26725901174
553	426556.81996322615
554	426562.3426955936
555	426567.83567130135
556	426573.29910338414
557	426578.733203406
558	426584.1381806171
559	426589.5142426712
560	426594.8615952671
561	426600.18044227373
562	426605.4709858204
563	426610.73342620686
564	426615.96796195715
565	426621.1747898374
566	426626.35410489177
567	426631.5061006221
568	426636.6309684672
569	426641.7288985747
570	426646.8000791189
571	426651.8446968396
572	426656.8629368079
573	426661.85498244537
574	426666.82101566624
575	426671.7612165556
576	426676.6757640686
577	426681.56483525876
578	426686.4286058344
579	426691.26724981813
580	426696.0809400125
581	426700.86984751624
582	426705.6341420648
583	426710.37399177934
584	426715.0895636869
585	426719.7810230927
586	426724.4485339386
587	426729.09225889284
588	426733.7123592609
589	426738.3089946797
590	426742.8823239433
591	426747.4325040702
592	426751.95969091274
593	426756.46403901384
594	426760.9457018407
595	426765.4048310303
596	426769.84157755633
597	426774.2560907962
598	426778.6485187819
599	426783.019008792
600	426787.3677063654
601	426791.69475601846
602	426796.0003012453
603	426800.2844840869
604	426804.54744565184
605	426808.7893256674
606	426813.01026283833
607	426817.2103948294
608	426821.3898577805
609	426825.54878732923
610	426829.68731742754
611	426833.80558129144
612	426837.90371095337
613	426841.98183720827
614	426846.04009025893
615	426850.07859851455
616	426854.09749015124
617	426858.0968916948
618	426862.0769290612
619	426866.03772680333
620	426869.9794087565
621	426873.9020975543
622	426877.80591514864
623	426881.69098200276
624	426885.5574182571
625	426889.4053425812
626	426893.23487298086
627	426897.04612629616
628	426900.8392187394
629	426904.6142653568
630	426908.3713802799
631	426912.11067703046
632	426915.8322678746
633	426919.5362644327
634	426923.22277732077
635	426926.8919163656
636	426930.5437904969
637	426934.178507676
638	426937.79617534427
639	426941.39689983067
640	426944.9807866928
641	426948.54794059193
642	426952.0984656507
643	426955.6324648978
644	426959.15004066256
645	426962.6512945386
646	426966.1363273484
647	426969.6052388384
648	426973.0581285216
649	426976.4950947093
650	426979.9162350672
651	426983.32164665096
652	426986.7114256555
653	426990.08566750423
654	426993.44446697505
655	426996.7879181821
656	427000.1161142888
657	427003.4291480102
658	427006.72711125435
659	427010.01009515784
660	427013.27819033706
661	427016.5314866373
662	427019.77007313236
663	427022.9940384837
664	427026.2034701868
665	427029.3984558986
666	427032.57908166153
667	427035.74543378747
668	427038.89759715303
669	427042.0356565452
670	427045.15969590796
671	427048.2697985576
672	427051.36604725436
673	427054.4485241126
674	427057.51731060096
675	427060.5724876502
676	427063.6141355811
677	427066.6423342121
678	427069.6571623754
679	427072.65869897464
680	427075.64702174766
681	427078.6222083069
682	427081.5843352602
683	427084.5334790899
684	427087.4697153276
685	427090.3931193256
686	427093.30376553943
687	427096.20172838867
688	427099.0870809296
689	427101.9598965057
690	427104.82024763525
691	427107.6682060832
692	427110.5038434171
693	427113.3272306128
694	427116.1384379285
695	427118.93753553275
696	427121.72459250013
697	427124.4996781739
698	427127.2628606781
699	427130.0142080107
700	427132.75378766784
701	427135.48166669713
702	427138.1979114465
703	427140.9025880669
704	427143.5957621169
705	427146.27749858145
706	427148.94786223024
707	427151.60691727675
708	427154.2547272351
709	427156.89135558344
710	427159.5168651721
711	427162.1313183134
712	427164.7347770147
713	427167.3273026734
714	427169.90895679477
715	427172.4797994131
716	427175.0398912801
717	427177.5892921969
718	427180.12806131894
719	427182.65625781956
720	427185.17394033406
721	427187.68116688775
722	427190.17799548816
723	427192.66448331764
724	427195.1406875226
725	427197.6066646935
726	427200.06247086497
727	427202.50816208904
728	427204.94379373675
729	427207.36942094547
730	427209.7850982072
731	427212.19087995985
732	427214.5868202649
733	427216.9729724842
734	427219.34939001536
735	427221.7161256104
736	427224.07323180616
737	427226.4207607806
738	427228.7587642991
739	427231.08729371463
740	427233.40640029055
741	427235.71613453655
742	427238.01654719585
743	427240.30768811464
744	427242.5896070495
745	427244.8623533265
746	427247.1259763434
747	427249.3805244039
748	427251.626046296
749	427253.8625899645
750	427256.09020304965
751	427258.3089333527
752	427260.51882763486
753	427262.7199330877
754	427264.9122958445
755	427267.0959626665
756	427269.27097886184
757	427271.4373904383
758	427273.59524265025
759	427275.7445802679
760	427277.88544838433
761	427280.01789115963
762	427282.14195275423
763	427284.2576770414
764	427286.36510762526
765	427288.4642878054
766	427290.5552604862
767	427292.6380683035
768	427294.7127540186
769	427296.77935929847
770	427298.8379264738
771	427300.88849697856
772	427302.93111217493
773	427304.9658131021
774	427306.9926406021
775	427309.011635212
776	427311.022837451
777	427313.0262869771
778	427315.02202380734
779	427317.01008734864
780	427318.9905169364
781	427320.96335167275
782	427322.92863006773
783	427324.8863910263
784	427326.8366723951
785	427328.7795125227
786	427330.71494916605
787	427332.6430196695
788	427334.56376168225
789	427336.47721192084
790	427338.38340760395
791	427340.2823849103
792	427342.1741806278
793	427344.0588307199
794	427345.93637116766
795	427347.8068374857
796	427349.67026563734
797	427351.52669024054
798	427353.376146846
799	427355.2186698741
800	427357.0542943735
801	427358.8830542804
802	427360.70498396165
803	427362.520117533
804	427364.32848846435
805	427366.1301304231
806	427367.9250766997
807	427369.71336045937
808	427371.4950147953
809	427373.2700720296
810	427375.0385648429
811	427376.80052580853
812	427378.55598669243
813	427380.30497969093
814	427382.04753622937
815	427383.7836880378
816	427385.51346661313
817	427387.2369025735
