# magnatic specific heat from Polaronic transport and thermoelectricity in Mn3Si2Te6 single crystals. Y. Liu et al.
#
# Temperature[K]  C_mag[J/m^3/K]
52.73454157782516 2190.939481268011
53.320895522388064 2660.4265129683045
54.02452025586354 3755.8962536023173
54.757462686567166 5007.861671469742
55.37313432835821 6103.331412103755
55.84221748400853 6885.8097982709005
56.25266524520256 7668.288184438046
56.69243070362474 8607.262247838618
57.24946695095949 9859.227665706057
57.68923240938166 10641.706051873203
58.158315565031984 11580.68011527379
58.48081023454158 12519.654178674362
59.155117270788914 14241.10662824208
59.82942430703625 15806.063400576371
60.41577825159915 17684.01152737753
60.88486140724947 19248.96829971182
61.32462686567165 20813.925072046113
61.793710021321964 22065.890489913552
62.292110874200425 23630.84726224783
62.70255863539446 25039.308357348695
63.17164179104478 26760.760806916427
63.6407249466951 27543.239193083573
64.10980810234541 29108.195965417864
64.49093816631131 30986.14409221901
64.93070362473347 33177.083573487034
65.48773987206823 35524.51873198847
65.95682302771856 37558.96253602306
66.45522388059702 40375.88472622479
67.04157782515992 43662.2939481268
67.45202558635395 46009.729106628234
67.83315565031984 48200.668587896245
68.30223880597015 50861.09510086455
68.62473347547974 53834.51296829971
68.97654584221749 56181.948126801144
69.29904051172709 58842.37463976944
69.62153518123668 61502.801152737746
69.88539445628999 64632.714697406336
70.17857142857143 67449.63688760807
70.41311300639659 70110.06340057636
70.6183368869936 72926.98559077809
70.88219616204691 75587.41210374638
71.08742004264393 77934.84726224783
71.23400852878464 80282.28242074927
71.40991471215352 83568.69164265128
71.64445628997868 87011.59654178674
71.7910447761194 89985.01440922188
71.99626865671642 93271.42363112391
72.14285714285714 96244.84149855906
72.37739872068231 99531.25072046107
72.52398720682302 102817.6599423631
72.75852878464819 106260.56484149855
72.96375266524521 102661.16426512967
73.05170575692964 99374.75504322765
73.11034115138592 96401.33717579249
73.28624733475479 92645.44092219019
73.31556503198294 89515.5273775216
73.43283582089552 85916.12680115273
73.52078891257996 82160.23054755043
73.5501066098081 79343.3083573487
73.63805970149254 76369.89048991352
73.72601279317698 74022.4553314121
73.8139658848614 70736.04610951009
73.93123667377398 67136.64553314121
73.98987206823028 64163.22766570604
74.04850746268657 61502.801152737746
74.16577825159915 58529.383285302596
74.25373134328359 55555.965417867425
74.31236673773988 53052.03458213256
74.37100213219617 50391.60806916426
74.4589552238806 47418.1902017291
74.51759061833688 44914.259365994236
74.60554371002132 42410.32853025936
74.63486140724947 40375.88472622479
74.75213219616205 37558.96253602306
74.86940298507463 34898.53602305475
74.95735607675907 32394.605187319874
75.16257995735607 30203.665706051863
75.45575692963753 27386.743515850132
75.71961620469084 25195.80403458212
75.95415778251599 23004.86455331411
76.2180170575693 20500.93371757926
76.56982942430704 17684.01152737753
76.98027718550107 15336.576368876093
77.50799573560768 13302.132564841508
78.03571428571429 10954.69740634007
78.56343283582089 9233.244956772338
79.0911513859275 7511.79250720462
79.64818763326227 6416.322766570607
80.17590618336888 5477.348703170035
80.79157782515992 4225.383285302596
81.31929637526653 3129.9135446685978
81.78837953091684 1877.9481268011587
82.25746268656717 1721.4524495677324
